*Vertices	          6
1 "A"                                      0.8169    0.6915    0.5000
2 "B"                                      0.7532    0.7214    0.5000
3 "C"                                      0.9163    0.6343    0.5000
4 "D"                                      0.6061    0.7762    0.5000
5 "E"                                      0.6061    0.7762    0.5000
6 "F"                                      0.6061    0.7762    0.5000
*Arcs
*Edges
1      2       4
1      3       2
1      4       6
2      4       7
2      5       9
3      4       10
3      6       3
4      5       8
4      6       4
5      6       5
